date,time,temperature,sensor,room,board
01/01/17,00:00:00,15.092,5,1,3
01/01/17,00:30:00,15.092,5,1,3
01/01/17,01:00:00,14.960,5,1,3
01/01/17,01:30:00,14.896,5,1,3
01/01/17,02:00:00,15.154,5,1,3
01/01/17,02:30:00,15.218,5,1,3
01/01/17,03:00:00,14.830,5,1,3
01/01/17,03:30:00,14.896,5,1,3
01/01/17,04:00:00,15.024,5,1,3
01/01/17,04:30:00,15.235,5,1,3
01/01/17,05:00:00,14.704,5,1,3
01/01/17,05:30:00,14.768,5,1,3
01/01/17,06:00:00,14.638,5,1,3
01/01/17,06:30:00,14.640,5,1,3
01/01/17,07:00:00,15.284,5,1,3
01/01/17,07:30:00,14.576,5,1,3
01/01/17,08:00:00,14.446,5,1,3
01/01/17,08:30:00,14.510,5,1,3
01/01/17,09:00:00,14.702,5,1,3
01/01/17,09:30:00,15.092,5,1,3
01/01/17,10:00:00,15.480,5,1,3
01/01/17,10:30:00,15.928,5,1,3
01/01/17,11:00:00,16.446,5,1,3
01/01/17,11:30:00,17.282,5,1,3
01/01/17,12:00:00,18.060,5,1,3
01/01/17,12:30:00,18.770,5,1,3
01/01/17,13:00:00,18.316,5,1,3
01/01/17,13:30:00,18.510,5,1,3
01/01/17,14:00:00,18.832,5,1,3
01/01/17,14:30:00,17.996,5,1,3
01/01/17,15:00:00,17.802,5,1,3
01/01/17,15:30:00,17.414,5,1,3
01/01/17,16:00:00,17.010,5,1,3
01/01/17,16:30:00,16.706,5,1,3
01/01/17,17:00:00,16.448,5,1,3
01/01/17,17:30:00,16.316,5,1,3
01/01/17,18:00:00,16.740,5,1,3
01/01/17,18:30:00,16.058,5,1,3
01/01/17,19:00:00,15.608,5,1,3
01/01/17,19:30:00,15.544,5,1,3
01/01/17,20:00:00,15.672,5,1,3
01/01/17,20:30:00,15.608,5,1,3
01/01/17,21:00:00,15.286,5,1,3
01/01/17,21:30:00,15.288,5,1,3
01/01/17,22:00:00,16.060,5,1,3
01/01/17,22:30:00,16.320,5,1,3
01/01/17,23:00:00,15.224,5,1,3
01/01/17,23:30:00,14.962,5,1,3
02/01/17,00:00:00,14.960,5,1,3
02/01/17,00:30:00,14.960,5,1,3
02/01/17,01:00:00,14.896,5,1,3
02/01/17,01:30:00,14.896,5,1,3
02/01/17,02:00:00,14.574,5,1,3
02/01/17,02:30:00,15.476,5,1,3
02/01/17,03:00:00,15.542,5,1,3
02/01/17,03:30:00,14.590,5,1,3
02/01/17,04:00:00,14.832,5,1,3
02/01/17,04:30:00,14.574,5,1,3
02/01/17,05:00:00,14.574,5,1,3
02/01/17,05:30:00,14.446,5,1,3
02/01/17,06:00:00,14.962,5,1,3
02/01/17,06:30:00,14.510,5,1,3
02/01/17,07:00:00,14.254,5,1,3
02/01/17,07:30:00,14.318,5,1,3
02/01/17,08:00:00,14.318,5,1,3
02/01/17,08:30:00,14.576,5,1,3
02/01/17,09:00:00,14.254,5,1,3
02/01/17,09:30:00,14.318,5,1,3
02/01/17,10:00:00,14.254,5,1,3
02/01/17,10:30:00,14.254,5,1,3
02/01/17,11:00:00,14.318,5,1,3
02/01/17,11:30:00,14.254,5,1,3
02/01/17,12:00:00,14.190,5,1,3
02/01/17,12:30:00,14.190,5,1,3
02/01/17,13:00:00,14.190,5,1,3
02/01/17,13:30:00,15.222,5,1,3
02/01/17,14:00:00,14.190,5,1,3
02/01/17,14:30:00,14.190,5,1,3
02/01/17,15:00:00,14.190,5,1,3
02/01/17,15:30:00,14.190,5,1,3
02/01/17,16:00:00,15.030,5,1,3
02/01/17,16:30:00,14.384,5,1,3
02/01/17,17:00:00,13.932,5,1,3
02/01/17,17:30:00,14.254,5,1,3
02/01/17,18:00:00,14.254,5,1,3
02/01/17,18:30:00,13.934,5,1,3
02/01/17,19:00:00,13.934,5,1,3
02/01/17,19:30:00,13.870,5,1,3
02/01/17,20:00:00,13.996,5,1,3
02/01/17,20:30:00,13.998,5,1,3
02/01/17,21:00:00,13.804,5,1,3
02/01/17,21:30:00,13.672,5,1,3
02/01/17,22:00:00,13.734,5,1,3
02/01/17,22:30:00,13.606,5,1,3
02/01/17,23:00:00,13.606,5,1,3
02/01/17,23:30:00,13.606,5,1,3
03/01/17,00:00:00,13.540,5,1,3
03/01/17,00:30:00,13.672,5,1,3
03/01/17,01:00:00,13.672,5,1,3
03/01/17,01:30:00,13.670,5,1,3
03/01/17,02:00:00,14.750,5,1,3
03/01/17,02:30:00,13.412,5,1,3
03/01/17,03:00:00,13.672,5,1,3
03/01/17,03:30:00,13.412,5,1,3
03/01/17,04:00:00,13.350,5,1,3
03/01/17,04:30:00,13.220,5,1,3
03/01/17,05:00:00,13.414,5,1,3
03/01/17,05:30:00,13.414,5,1,3
03/01/17,06:00:00,13.220,5,1,3
03/01/17,06:30:00,13.348,5,1,3
03/01/17,07:00:00,13.220,5,1,3
03/01/17,07:30:00,13.220,5,1,3
03/01/17,08:00:00,13.156,5,1,3
03/01/17,08:30:00,13.672,5,1,3
03/01/17,09:00:00,15.028,5,1,3
03/01/17,09:30:00,15.994,5,1,3
03/01/17,10:00:00,17.738,5,1,3
03/01/17,10:30:00,17.284,5,1,3
03/01/17,11:00:00,17.606,5,1,3
03/01/17,11:30:00,17.740,5,1,3
03/01/17,12:00:00,18.124,5,1,3
03/01/17,12:30:00,19.026,5,1,3
03/01/17,13:00:00,18.898,5,1,3
03/01/17,13:30:00,18.865,5,1,3
03/01/17,14:00:00,19.094,5,1,3
03/01/17,14:30:00,19.158,5,1,3
03/01/17,15:00:00,19.286,5,1,3
03/01/17,15:30:00,19.478,5,1,3
03/01/17,16:00:00,19.736,5,1,3
03/01/17,16:30:00,19.606,5,1,3
03/01/17,17:00:00,19.672,5,1,3
03/01/17,17:30:00,19.736,5,1,3
03/01/17,18:00:00,20.000,5,1,3
03/01/17,18:30:00,20.000,5,1,3
03/01/17,19:00:00,20.128,5,1,3
03/01/17,19:30:00,20.192,5,1,3
03/01/17,20:00:00,20.000,5,1,3
03/01/17,20:30:00,20.192,5,1,3
03/01/17,21:00:00,20.064,5,1,3
03/01/17,21:30:00,20.642,5,1,3
03/01/17,22:00:00,20.064,5,1,3
03/01/17,22:30:00,20.256,5,1,3
03/01/17,23:00:00,20.192,5,1,3
03/01/17,23:30:00,20.128,5,1,3
04/01/17,00:00:00,19.802,5,1,3
04/01/17,00:30:00,18.572,5,1,3
04/01/17,01:00:00,17.900,5,1,3
04/01/17,01:30:00,17.674,5,1,3
04/01/17,02:00:00,17.284,5,1,3
04/01/17,02:30:00,16.834,5,1,3
04/01/17,03:00:00,16.834,5,1,3
04/01/17,03:30:00,16.578,5,1,3
04/01/17,04:00:00,16.578,5,1,3
04/01/17,04:30:00,16.446,5,1,3
04/01/17,05:00:00,16.250,5,1,3
04/01/17,05:30:00,17.026,5,1,3
04/01/17,06:00:00,18.190,5,1,3
