n,type,alpha,value
5,TTT,0.05,NaN
5,TTT,0.01,NaN
5,OTT,0.05,0
5,OTT,0.01,NaN
6,TTT,0.05,0
6,TTT,0.01,NaN
6,OTT,0.05,2
6,OTT,0.01,NaN
7,TTT,0.05,2
7,TTT,0.01,NaN
7,OTT,0.05,3
7,OTT,0.01,0
8,TTT,0.05,3
8,TTT,0.01,0
8,OTT,0.05,5
8,OTT,0.01,1
9,TTT,0.05,5
9,TTT,0.01,1
9,OTT,0.05,8
9,OTT,0.01,3
10,TTT,0.05,8
10,TTT,0.01,3
10,OTT,0.05,10
10,OTT,0.01,5
11,TTT,0.05,10
11,TTT,0.01,5
11,OTT,0.05,13
11,OTT,0.01,7
12,TTT,0.05,13
12,TTT,0.01,7
12,OTT,0.05,17
12,OTT,0.01,9
13,TTT,0.05,17
13,TTT,0.01,9
13,OTT,0.05,21
13,OTT,0.01,12
14,TTT,0.05,21
14,TTT,0.01,12
14,OTT,0.05,25
14,OTT,0.01,15
15,TTT,0.05,25
15,TTT,0.01,15
15,OTT,0.05,30
15,OTT,0.01,19
16,TTT,0.05,29
16,TTT,0.01,19
16,OTT,0.05,35
16,OTT,0.01,23
17,TTT,0.05,34
17,TTT,0.01,23
17,OTT,0.05,41
17,OTT,0.01,27
18,TTT,0.05,40
18,TTT,0.01,27
18,OTT,0.05,47
18,OTT,0.01,32
19,TTT,0.05,46
19,TTT,0.01,32
19,OTT,0.05,53
19,OTT,0.01,37
20,TTT,0.05,52
20,TTT,0.01,37
20,OTT,0.05,60
20,OTT,0.01,43
21,TTT,0.05,58
21,TTT,0.01,42
21,OTT,0.05,67
21,OTT,0.01,49
22,TTT,0.05,65
22,TTT,0.01,48
22,OTT,0.05,75
22,OTT,0.01,55
23,TTT,0.05,73
23,TTT,0.01,54
23,OTT,0.05,83
23,OTT,0.01,62
24,TTT,0.05,81
24,TTT,0.01,61
24,OTT,0.05,91
24,OTT,0.01,69
25,TTT,0.05,89
25,TTT,0.01,68
25,OTT,0.05,100
25,OTT,0.01,76
26,TTT,0.05,98
26,TTT,0.01,75
26,OTT,0.05,110
26,OTT,0.01,84
27,TTT,0.05,107
27,TTT,0.01,83
27,OTT,0.05,119
27,OTT,0.01,92
28,TTT,0.05,116
28,TTT,0.01,91
28,OTT,0.05,130
28,OTT,0.01,101
29,TTT,0.05,126
29,TTT,0.01,100
29,OTT,0.05,140
29,OTT,0.01,110
30,TTT,0.05,137
30,TTT,0.01,109
30,OTT,0.05,151
30,OTT,0.01,120
