PHASE;ID;GENDER;ATENEO;CLASS;FASCIAETA;ANNO;LIVELLO;ESAME_!;ESAME_2;ESAME_TOT;RIP;EFFICACIA
1;15989;M;TORINO;CL05;2;2014;3;1;1;1;;77%
1;30106;M;MILANO;CL01;2;2005;3;1;0;0;;71%
1;18295;F;MILANO;CL05;2;2001;3;1;0;0;;45%
1;5646;M;CAGLIARI;CL05;2;2002;3;1;0;0;;38%
1;4103;M;EXTRA-UE;CL09;1;2005;0;0;0;0;;0%
1;32204;M;NAPOLI;CL05;2;2014;3;0;1;0;;27%
1;11175;M;PADOVA;CL05;2;2015;3;1;0;0;;54%
1;8478;M;CASERTA;CL05;2;2005;3;1;0;0;;45%
1;1194;M;TORINO;CL05;2;2002;2;1;1;1;;54%
1;10202;F;BOLOGNA;CL05;2;2014;3;0;1;0;;15%
1;6640;M;ROMA;CL05;2;2004;3;1;0;0;;54%
1;9641;M;ROMA;CL05;2;2012;3;0;1;0;;43%
1;19204;M;FIRENZE;CL05;2;2011;3;1;1;1;;45%
1;865;M;MODENA;CL01;2;2014;3;1;1;1;;38%
1;2353;M;PARMA;CL05;2;2014;2;1;1;1;;54%
1;21491;M;BOLOGNA;CL05;1;2005;2;1;0;0;;54%
1;31025;M;BARI;CL05;1;2002;3;1;0;0;;54%
1;24288;M;BRESCIA;CL01;2;2015;3;0;0;0;;11%
1;24388;M;UE;CL09;2;2008;3;1;1;1;;56%
1;25146;M;EXTRA-UE;CL09;1;2011;3;0;0;0;;11%
1;8907;M;TORINO;CL05;2;2015;2;1;1;1;;56%
1;5509;M;EXTRA-UE;CL09;2;2005;0;0;0;0;;0%
1;2229;M;MESSINA;CL05;2;2016;3;0;1;0;;27%
1;37340;M;EXTRA-UE;CL09;2;2008;2;0;0;0;;27%
1;7278;M;LECCE;CL05;2;2015;3;0;1;0;;0%
1;37059;M;BARI;CL01;1;2002;2;1;0;0;;38%
1;19384;M;BOLOGNA;CL03;2;2001;3;0;0;0;;23%
1;10755;M;BOLOGNA;CL05;2;2015;3;0;1;0;;14%
1;17117;F;ROMA;CL05;2;2013;3;1;1;1;;64%
1;37351;M;TORINO;CL03;2;2014;3;1;0;0;;78%
1;31183;M;MILANO;CL01;2;2010;3;1;0;0;;45%
1;24783;M;BARI;CL05;2;2015;3;1;1;1;;38%
1;14040;M;ROMA;CL05;2;2014;3;0;1;0;;9%
1;29064;F;TORINO;CL03;2;2006;3;1;0;0;;69%
1;37278;M;VERONA;CL01;2;2006;2;0;1;0;;27%
1;39199;M;NAPOLI;CL05;1;2006;3;1;1;1;;54%
1;13617;M;TRENTO;CL09;2;2011;3;1;1;1;;100%
1;36443;M;GENOVA;CL05;1;2005;1;0;0;0;;0%
1;24951;M;PADOVA;CL05;2;2015;2;1;0;0;;54%
1;37458;M;PADOVA;CL01;2;2015;3;1;1;1;;85%
1;2846;M;TORINO;CL05;2;2002;3;1;1;1;;45%
1;7275;M;NAPOLI;CL05;2;2011;3;1;1;1;;85%
1;34262;M;MILANO;CL05;2;2005;2;1;0;0;;71%
1;19794;M;ROMA;CL05;2;2005;2;1;0;0;;64%
1;30996;M;SALERNO;CL01;2;2015;2;1;0;0;;45%
1;25673;F;UE;CL09;2;2003;3;1;0;0;;38%
1;7767;M;EXTRA-UE;CL09;1;2003;3;0;0;0;;0%
1;38238;F;SALERNO;CL01;2;2015;2;0;1;0;;0%
1;32758;M;EXTRA-UE;CL09;1;2001;0;0;0;0;;0%
1;39169;M;MILANO;CL01;2;2005;3;0;1;0;;0%
1;9066;M;EXTRA-UE;CL09;1;2000;2;1;0;0;;45%
1;19014;M;BOLOGNA;CL05;2;2004;2;0;0;0;;27%
1;35227;M;SALERNO;CL01;2;2016;3;1;1;1;;55%
1;26895;M;BARI;CL05;2;2014;3;1;1;1;;100%
1;30491;F;ANCONA;CL05;2;2004;2;1;0;0;;45%
1;24843;M;MESSINA;CL05;2;2015;3;1;1;1;;38%
1;5129;M;UE;CL05;2;2014;3;0;1;0;;27%
1;27204;F;CASERTA;CL01;2;2002;3;1;0;0;;64%
1;3876;M;EXTRA-UE;CL09;1;2006;2;0;0;0;;33%
1;28323;M;EXTRA-UE;CL09;2;2008;2;1;0;0;;78%
1;34589;M;CATANIA;CL01;1;2014;3;0;1;0;;0%
1;18804;M;PADOVA;CL07;2;2016;3;0;0;0;;0%
1;28241;M;CATANIA;CL01;2;2015;2;0;0;0;;0%
1;31743;M;BARI;CL01;2;2006;3;1;0;0;;45%
1;20690;M;MILANO;CL05;2;2002;3;1;1;1;;78%
1;26143;M;BOLOGNA;CL01;2;2014;3;0;1;0;;0%
1;5340;M;PADOVA;CL05;2;2014;3;1;1;1;;45%
1;35322;M;UE;CL09;2;2014;3;1;0;0;;45%
1;9703;M;SALERNO;CL05;2;2004;3;1;1;1;;64%
1;35011;F;BRESCIA;CL05;2;2015;3;1;0;0;;71%
1;37486;M;UE;CL09;2;2013;3;0;1;0;;33%
1;13867;M;L'AQUILA;CL05;2;2005;2;1;1;1;;45%
1;8628;M;REGGIO CALABRIA;CL05;1;2005;3;1;0;0;;69%
1;10543;M;PISA;CL01;2;2005;3;1;0;0;;56%
1;35272;M;TORINO;CL01;2;2001;3;0;1;0;;27%
1;39039;M;BOLZANO;CL01;2;2008;3;1;1;1;;38%
1;39060;M;BERGAMO;CL05;2;2014;3;1;1;1;;64%
1;33420;M;MILANO;CL05;2;2015;3;0;1;0;;60%
1;35934;M;PALERMO;CL05;2;2005;3;1;0;0;;54%
1;17444;M;VERONA;CL01;2;2006;3;1;1;1;;45%
1;20109;M;BRESCIA;CL05;2;2010;3;0;1;0;;43%
1;11765;M;SIENA;CL05;2;2006;3;1;0;0;;45%
1;30659;M;PERUGIA;CL02;2;2012;2;0;0;0;;33%
1;20004;M;BOLOGNA;CL05;2;2005;3;1;1;1;;69%
1;37139;M;MODENA;CL05;2;2014;3;1;1;1;;45%
1;26852;M;MODENA;CL05;2;2015;3;0;1;0;;33%
1;31453;M;TORINO;CL05;2;2014;3;1;1;1;;45%
1;38537;M;REGGIO CALABRIA;CL05;1;2005;3;0;1;0;;8%
1;32637;M;ROMA;CL05;1;2007;3;1;1;1;;45%
1;23904;F;CATANIA;CL05;2;2006;3;1;1;1;;69%
1;1088;M;PALERMO;CL05;2;2004;3;1;1;1;;38%
1;34942;M;UE;CL09;1;2008;3;0;1;0;;0%
